User,1: Toy Story (1995),1210: Star Wars: Episode VI - Return of the Jedi (1983),356: Forrest Gump (1994),"318: Shawshank Redemption, The (1994)","593: Silence of the Lambs, The (1991)",3578: Gladiator (2000),260: Star Wars: Episode IV - A New Hope (1977),2028: Saving Private Ryan (1998),296: Pulp Fiction (1994),1259: Stand by Me (1986),2396: Shakespeare in Love (1998),2916: Total Recall (1990),780: Independence Day (ID4) (1996),541: Blade Runner (1982),1265: Groundhog Day (1993),"2571: Matrix, The (1999)",527: Schindler's List (1993),"2762: Sixth Sense, The (1999)",1198: Raiders of the Lost Ark (1981),34: Babe (1995)
755,-1.2000000000000002,1.7999999999999998,-1.2000000000000002,0.0,0.7999999999999998,0.7999999999999998,-2.2,-1.2000000000000002,0.0,-0.20000000000000018,-1.2000000000000002,0.0,1.7999999999999998,-1.2000000000000002,1.7999999999999998,0.7999999999999998,-1.2000000000000002,1.7999999999999998,0.0,0.0
5277,-1.7692307692307692,0.0,0.0,-0.7692307692307692,1.2307692307692308,-0.7692307692307692,2.230769230769231,0.0,0.0,1.2307692307692308,0.23076923076923084,-0.7692307692307692,-0.7692307692307692,0.0,-0.7692307692307692,0.0,2.230769230769231,-1.7692307692307692,0.23076923076923084,0.0
1577,0.0,0.0,0.0,2.6666666666666665,-0.3333333333333335,0.0,0.0,0.0,0.0,-1.3333333333333335,0.0,-1.3333333333333335,1.6666666666666665,1.6666666666666665,-1.3333333333333335,-1.3333333333333335,-0.3333333333333335,0.6666666666666665,-1.3333333333333335,0.6666666666666665
4388,-0.8333333333333335,0.16666666666666652,0.0,0.0,0.0,-1.8333333333333335,0.0,0.16666666666666652,1.1666666666666665,0.0,0.0,1.1666666666666665,0.0,0.16666666666666652,2.1666666666666665,0.0,2.1666666666666665,-1.8333333333333335,-1.8333333333333335,-0.8333333333333335
1202,0.0,-0.2142857142857144,0.7857142857142856,-2.2142857142857144,0.7857142857142856,-2.2142857142857144,0.7857142857142856,0.7857142857142856,0.0,-2.2142857142857144,1.7857142857142856,-2.2142857142857144,0.0,0.7857142857142856,0.0,-0.2142857142857144,1.7857142857142856,1.7857142857142856,0.0,0.0
3823,-0.07142857142857162,0.9285714285714284,0.9285714285714284,0.9285714285714284,0.0,0.0,-1.0714285714285716,-2.0714285714285716,0.9285714285714284,0.9285714285714284,1.9285714285714284,-1.0714285714285716,0.9285714285714284,0.0,-2.0714285714285716,0.0,0.0,-0.07142857142857162,0.0,-1.0714285714285716
5448,0.0,0.0,0.3333333333333335,-1.6666666666666665,-1.6666666666666665,1.3333333333333335,1.3333333333333335,2.3333333333333335,-0.6666666666666665,0.0,-1.6666666666666665,0.0,0.0,0.3333333333333335,0.0,-1.6666666666666665,0.0,0.0,2.3333333333333335,-0.6666666666666665
5347,-0.6666666666666665,0.0,0.0,0.0,0.3333333333333335,-0.6666666666666665,1.3333333333333335,0.0,0.3333333333333335,0.0,0.0,-0.6666666666666665,-1.6666666666666665,-0.6666666666666665,1.3333333333333335,0.0,-1.6666666666666665,0.3333333333333335,2.3333333333333335,0.0
4117,0.8333333333333335,-2.1666666666666665,0.0,0.8333333333333335,-1.1666666666666665,0.8333333333333335,1.8333333333333335,0.8333333333333335,0.0,-2.1666666666666665,-1.1666666666666665,0.0,-2.1666666666666665,0.0,1.8333333333333335,0.0,0.0,0.0,0.0,1.8333333333333335
2765,0.8181818181818183,-1.1818181818181817,0.0,1.8181818181818183,-0.18181818181818166,0.0,0.8181818181818183,-0.18181818181818166,0.8181818181818183,0.0,0.0,0.0,-1.1818181818181817,0.0,0.0,-1.1818181818181817,1.8181818181818183,-2.1818181818181817,0.0,0.0
